rank,run,best_gap_vs_best_opponent,best_gap_vs_best_opponent_step,best_score_gap,best_score_gap_step,best_my_score,best_my_score_step,best_rank,best_rank_step,last_gap_vs_best_opponent,last_score_gap,last_my_score,last_rank,last_shortfall_penalty_sum,last_disposal_cost_sum,last_productivity_mean,last_reward_nonzero_fraction,last_reward_positive_fraction,last_reward_negative_fraction
1,sweep_bs_07_need_0001_shortfall_0001,-0.11905132979154587,250000,0.04185035824775696,300000,0.991858720779419,300000,6.333333492279053,200000,-0.12322022765874863,0.04185035824775696,0.991858720779419,9.0,1287.361083984375,249.5570526123047,0.8216515779495239,0.8248999714851379,0.019600000232458115,0.8052999973297119
2,sweep_bs_10_productivity_001,-0.1264549195766449,100000,0.06816983222961426,250000,1.0167949199676514,100000,7.666666507720947,250000,-0.3203749656677246,-0.08919979631900787,0.8726356029510498,10.0,4753.2265625,85.54615783691406,0.8952158689498901,0.9505000114440918,0.9254000186920166,0.025100000202655792
3,sweep_bs_02_score_delta_05,-0.14171364903450012,200000,0.05757511779665947,200000,1.0021138191223145,150000,4.0,200000,-0.2757721245288849,-0.09163658320903778,0.8657787442207336,9.0,2693.443603515625,331.8954162597656,0.5142643451690674,0.07580000162124634,0.035100001841783524,0.040699999779462814
4,sweep_bs_11_need_0001_productivity_0005,-0.15252217650413513,250000,0.05720524489879608,300000,0.9618895649909973,150000,7.666666507720947,200000,-0.20483465492725372,0.05720524489879608,0.9368731379508972,8.333333015441895,4835.38720703125,43.47645568847656,0.8090068697929382,1.0,0.8274999856948853,0.17249999940395355
5,sweep_bs_08_need_00025_shortfall_0001,-0.15553595125675201,300000,0.07656743377447128,100000,1.000338077545166,300000,7.0,250000,-0.15553595125675201,0.017593562602996826,1.000338077545166,8.333333015441895,1672.648681640625,20.398305892944336,0.8215975761413574,0.680400013923645,0.007499999832361937,0.6729000210762024
6,sweep_bs_06_shortfall_0001,-0.16641837358474731,250000,0.041584644466638565,300000,0.9728859663009644,250000,6.666666507720947,250000,-0.20703884959220886,0.041584644466638565,0.9685306549072266,7.666666507720947,1629.795654296875,248.52166748046875,0.8285900950431824,0.6152999997138977,0.019899999722838402,0.5953999757766724
7,sweep_bs_05_need_0005,-0.17025960981845856,150000,0.06632395833730698,200000,0.9704942107200623,150000,6.666666507720947,200000,-0.2981266677379608,-0.16841217875480652,0.8701296448707581,10.666666984558105,783.9664306640625,239.0192108154297,0.5646798610687256,0.43959999084472656,0.005799999926239252,0.43380001187324524
8,sweep_bs_14_overshoot_0001_disposal_0001,-0.17157334089279175,250000,0.09128037840127945,150000,0.9983919262886047,150000,6.333333492279053,150000,-0.211725115776062,0.03385813534259796,0.9422636032104492,6.666666507720947,2005.0732421875,125.81155395507812,0.7889415621757507,0.2897999882698059,0.0210999995470047,0.2687000036239624
9,sweep_bs_13_need_00025_shortfall_0001_productivity_0005,-0.17835742235183716,250000,0.02607978694140911,250000,0.9786757230758667,250000,7.666666507720947,300000,-0.2727668285369873,0.010327480733394623,0.9301031231880188,7.666666507720947,1691.5687255859375,49.33905029296875,0.8719607591629028,1.0,0.7634999752044678,0.23649999499320984
10,sweep_bs_01_default_only,-0.18518975377082825,300000,0.08498723059892654,100000,0.9563506245613098,300000,7.0,100000,-0.18518975377082825,0.02836480736732483,0.9563506245613098,8.0,3568.9052734375,90.78939819335938,0.8153704404830933,0.0333000011742115,0.010900000110268593,0.02239999920129776
11,sweep_bs_00_baseline,-0.1861397624015808,250000,-0.013247325085103512,50000,0.9583402872085571,250000,7.666666507720947,250000,-0.22203931212425232,-0.04269813001155853,0.9108322858810425,10.333333015441895,2214.9462890625,184.58387756347656,0.722229540348053,0.037300001829862595,0.012400000356137753,0.024900000542402267
12,sweep_bs_15_need_0001_overshoot_0001_disposal_0001,-0.18739110231399536,50000,0.07481414079666138,50000,0.9539058804512024,50000,7.333333492279053,50000,-0.32304129004478455,-0.13729077577590942,0.8851786851882935,10.0,3540.978271484375,207.57196044921875,0.6496748924255371,0.9215999841690063,0.010099999606609344,0.9114999771118164
13,sweep_bs_09_productivity_0005,-0.18745093047618866,100000,0.022796595469117165,150000,0.9393948316574097,150000,7.0,50000,-0.22546330094337463,-0.07207057625055313,0.9255347847938538,10.666666984558105,4868.12353515625,158.42459106445312,0.775280237197876,0.9017000198364258,0.8694000244140625,0.03229999914765358
14,sweep_bs_04_need_00025,-0.19713720679283142,50000,0.04809218645095825,50000,0.9667972326278687,50000,5.0,50000,-0.3155198395252228,-0.1201050728559494,0.8857691287994385,10.0,1962.755859375,212.5225067138672,0.6760822534561157,0.45249998569488525,0.006099999882280827,0.446399986743927
15,sweep_bs_03_need_0001,-0.2076849788427353,300000,-0.024863485246896744,300000,0.9430141448974609,200000,6.666666507720947,50000,-0.2076849788427353,-0.024863485246896744,0.9330697655677795,8.666666984558105,4140.2314453125,104.83098602294922,0.7854222655296326,0.6751999855041504,0.019500000402331352,0.6557000279426575
16,sweep_bs_12_need_0001_shortfall_0001_productivity_0005,-0.21423229575157166,150000,0.027829790487885475,300000,0.9262358546257019,300000,7.666666507720947,300000,-0.3096114695072174,0.027829790487885475,0.9262358546257019,7.666666507720947,1702.0137939453125,20.175676345825195,0.7611111402511597,1.0,0.7675999999046326,0.23240000009536743
