rank,group,run,best_gap_vs_best_opponent,best_gap_vs_best_opponent_step,best_score_gap,best_score_gap_step,best_my_score,best_my_score_step,best_rank,best_rank_step,last_gap_vs_best_opponent,last_score_gap,last_my_score,last_rank,last_shortfall_penalty_sum,last_disposal_cost_sum,last_productivity_mean,error
1,A2C_old,sweep_bs_07_need_0001_shortfall_0001,-0.11905132979154587,250000,0.04185035824775696,300000,0.991858720779419,300000,6.333333492279053,200000,-0.12322022765874863,0.04185035824775696,0.991858720779419,9.0,1287.361083984375,249.5570526123047,0.8216515779495239,
2,PPO_new,ppo_sweep_bs_08_need_00025_shortfall_0001,-0.12416571378707886,300000,0.026834636926651,300000,1.0030466318130493,300000,7.0,50000,-0.12416571378707886,0.026834636926651,1.0030466318130493,8.666666984558105,967.7369384765625,152.56068420410156,0.712588906288147,
3,A2C_old,sweep_bs_10_productivity_001,-0.1264549195766449,100000,0.06816983222961426,250000,1.0167949199676514,100000,7.666666507720947,250000,-0.3203749656677246,-0.08919979631900787,0.8726356029510498,10.0,4753.2265625,85.54615783691406,0.8952158689498901,
4,A2C_old,sweep_bs_02_score_delta_05,-0.14171364903450012,200000,0.05757511779665947,200000,1.0021138191223145,150000,4.0,200000,-0.2757721245288849,-0.09163658320903778,0.8657787442207336,9.0,2693.443603515625,331.8954162597656,0.5142643451690674,
5,A2C_old,sweep_bs_11_need_0001_productivity_0005,-0.15252217650413513,250000,0.05720524489879608,300000,0.9618895649909973,150000,7.666666507720947,200000,-0.20483465492725372,0.05720524489879608,0.9368731379508972,8.333333015441895,4835.38720703125,43.47645568847656,0.8090068697929382,
6,A2C_old,sweep_bs_08_need_00025_shortfall_0001,-0.15553595125675201,300000,0.07656743377447128,100000,1.000338077545166,300000,7.0,250000,-0.15553595125675201,0.017593562602996826,1.000338077545166,8.333333015441895,1672.648681640625,20.398305892944336,0.8215975761413574,
7,PPO_new,ppo_sweep_bs_07_need_0001_shortfall_0001,-0.15723025798797607,250000,0.07838798314332962,250000,0.9629033803939819,250000,6.666666507720947,250000,-0.2471306473016739,0.03894948214292526,0.8987831473350525,7.333333492279053,3185.2470703125,216.96957397460938,0.7340712547302246,
8,PPO_new,ppo_sweep_bs_15_need_0001_overshoot_0001_disposal_0001,-0.16012339293956757,100000,0.09352298825979233,50000,0.9570978283882141,100000,7.333333492279053,50000,-0.2965339124202728,-0.14244407415390015,0.8722476363182068,9.333333015441895,1004.9835205078125,98.83644104003906,0.6658775210380554,
9,A2C_old,sweep_bs_06_shortfall_0001,-0.16641837358474731,250000,0.041584644466638565,300000,0.9728859663009644,250000,6.666666507720947,250000,-0.20703884959220886,0.041584644466638565,0.9685306549072266,7.666666507720947,1629.795654296875,248.52166748046875,0.8285900950431824,
10,A2C_old,sweep_bs_05_need_0005,-0.17025960981845856,150000,0.06632395833730698,200000,0.9704942107200623,150000,6.666666507720947,200000,-0.2981266677379608,-0.16841217875480652,0.8701296448707581,10.666666984558105,783.9664306640625,239.0192108154297,0.5646798610687256,
11,A2C_old,sweep_bs_14_overshoot_0001_disposal_0001,-0.17157334089279175,250000,0.09128037840127945,150000,0.9983919262886047,150000,6.333333492279053,150000,-0.211725115776062,0.03385813534259796,0.9422636032104492,6.666666507720947,2005.0732421875,125.81155395507812,0.7889415621757507,
12,A2C_old,sweep_bs_13_need_00025_shortfall_0001_productivity_0005,-0.17835742235183716,250000,0.02607978694140911,250000,0.9786757230758667,250000,7.666666507720947,300000,-0.2727668285369873,0.010327480733394623,0.9301031231880188,7.666666507720947,1691.5687255859375,49.33905029296875,0.8719607591629028,
13,PPO_new,ppo_sweep_bs_09_productivity_0005,-0.18110887706279755,150000,0.013960731215775013,100000,0.9640152454376221,300000,7.666666507720947,50000,-0.1898806244134903,-0.04685287922620773,0.9640152454376221,10.666666984558105,2848.23681640625,271.2291259765625,0.6585184931755066,
14,PPO_new,ppo_sweep_bs_06_shortfall_0001,-0.1850529909133911,50000,0.02742058038711548,300000,0.9636285305023193,300000,8.666666984558105,50000,-0.22461771965026855,0.02742058038711548,0.9636285305023193,9.0,1002.4451293945312,101.98937225341797,0.7593507766723633,
15,A2C_old,sweep_bs_01_default_only,-0.18518975377082825,300000,0.08498723059892654,100000,0.9563506245613098,300000,7.0,100000,-0.18518975377082825,0.02836480736732483,0.9563506245613098,8.0,3568.9052734375,90.78939819335938,0.8153704404830933,
16,A2C_old,sweep_bs_00_baseline,-0.1861397624015808,250000,-0.013247325085103512,50000,0.9583402872085571,250000,7.666666507720947,250000,-0.22203931212425232,-0.04269813001155853,0.9108322858810425,10.333333015441895,2214.9462890625,184.58387756347656,0.722229540348053,
17,A2C_old,sweep_bs_15_need_0001_overshoot_0001_disposal_0001,-0.18739110231399536,50000,0.07481414079666138,50000,0.9539058804512024,50000,7.333333492279053,50000,-0.32304129004478455,-0.13729077577590942,0.8851786851882935,10.0,3540.978271484375,207.57196044921875,0.6496748924255371,
18,A2C_old,sweep_bs_09_productivity_0005,-0.18745093047618866,100000,0.022796595469117165,150000,0.9393948316574097,150000,7.0,50000,-0.22546330094337463,-0.07207057625055313,0.9255347847938538,10.666666984558105,4868.12353515625,158.42459106445312,0.775280237197876,
19,PPO_new,ppo_sweep_bs_02_score_delta_05,-0.1880398541688919,300000,0.0044878567568957806,300000,0.9368758201599121,300000,6.0,300000,-0.1880398541688919,0.0044878567568957806,0.9368758201599121,6.0,6192.32421875,315.92724609375,0.7724543213844299,
20,PPO_new,ppo_sweep_bs_01_default_only,-0.1888822615146637,200000,0.08192352205514908,300000,0.9505791664123535,100000,7.333333492279053,100000,-0.19457030296325684,0.08192352205514908,0.9418259859085083,9.333333015441895,3020.34521484375,31.69947052001953,0.6911892294883728,
21,PPO_new,ppo_sweep_bs_04_need_00025,-0.1920350193977356,150000,0.039463844150304794,250000,0.9574118852615356,150000,8.333333015441895,100000,-0.26257920265197754,-0.07890227437019348,0.9088540077209473,11.333333015441895,769.9274291992188,142.66990661621094,0.6662154793739319,
22,PPO_new,ppo_sweep_bs_11_need_0001_productivity_0005,-0.19399768114089966,200000,-0.04858309030532837,100000,0.9193649888038635,200000,7.0,150000,-0.27327093482017517,-0.11734353750944138,0.8638182282447815,9.333333015441895,2572.66455078125,25.716379165649414,0.7869951128959656,
23,A2C_old,sweep_bs_04_need_00025,-0.19713720679283142,50000,0.04809218645095825,50000,0.9667972326278687,50000,5.0,50000,-0.3155198395252228,-0.1201050728559494,0.8857691287994385,10.0,1962.755859375,212.5225067138672,0.6760822534561157,
